feature,coef,abs_coef
weak_score,4.193641662597656,4.193641662597656
gap_rollmean,4.161104202270508,4.161104202270508
power_factor,-3.578397512435913,3.578397512435913
resid_wh,1.0352963209152222,1.0352963209152222
Global_active_power,1.01919686794281,1.01919686794281
gap_abs_diff,-0.6190228462219238,0.6190228462219238
Voltage,0.5222939252853394,0.5222939252853394
Sub_metering_2,0.4982030689716339,0.4982030689716339
Sub_metering_3,0.37734827399253845,0.37734827399253845
Global_reactive_power,-0.2666621804237366,0.2666621804237366
Global_intensity,0.25623229146003723,0.25623229146003723
Sub_metering_1,0.16469068825244904,0.16469068825244904
